updated_utc,item_id,floor_copper,market_copper,quantity,lots,deal_qty,deal_cost
2026-08-07T02:41:56Z,241326,5007500,5107500,3648,50,474,2395643800
2026-08-07T02:41:56Z,242273,3999700,3999700,5179,87,0,0
2026-08-07T02:41:56Z,242275,435900,698800,115832,107,16836,7610844400
2026-08-07T02:41:56Z,242620,822000,822000,33509,82,0,0
2026-08-07T02:41:56Z,242621,1770000,1920600,92608,128,7286,13611506800
2026-08-07T02:41:56Z,242639,48700,55000,442601,882,6845,356433400
2026-08-07T02:41:56Z,242727,1553000,1559800,8962,77,325,504966500
2026-08-07T02:41:56Z,242786,830300,999100,29099,57,3818,3302685300
2026-08-07T02:41:56Z,243605,4299800,4498900,8799,600,1272,5658735100
2026-08-07T02:41:56Z,243606,6119900,6200000,6678,647,770,4724281100
2026-08-07T02:41:56Z,243953,15835900,15836000,1574,86,183,2897969700
2026-08-07T02:41:56Z,243957,16995900,16995900,1813,38,0,0
2026-08-07T02:41:56Z,243977,58889900,58899700,766,87,55,3238953300
2026-08-07T02:41:56Z,244003,26419900,26494800,1446,182,150,3963025800
2026-08-07T02:41:56Z,244021,11689600,11690000,778,102,116,1356024300
2026-08-07T02:41:56Z,244029,37446300,37469800,2780,244,412,15428940000
2026-08-07T02:41:56Z,244634,24499200,24499300,1195,211,28,685977600
2026-08-07T02:41:56Z,245805,578100,578200,10391,76,966,558444600
2026-08-07T02:41:56Z,246448,425000,502500,30332,412,4346,2051578900
2026-08-07T02:41:56Z,251283,3712000,3949900,5006,466,745,2890343900
2026-08-07T02:41:56Z,251285,5099200,5140000,16564,671,2474,12633777700
2026-08-07T02:41:56Z,253307,3506200,3798800,4419,312,469,1710194200
2026-08-07T02:41:56Z,253403,18500,19900,2175550,86,216996,4121395400
2026-08-07T02:41:56Z,255846,3140000,3209300,11674,35,1750,5542437800
2026-08-07T02:41:56Z,255847,430500,448800,70725,90,10228,4464204300
2026-08-07T02:41:56Z,259085,5409000,6354900,8810,738,1295,7629092900
